seriesID,year,period,value
CES2000000003,2021,M08,33.07
CES2000000003,2021,M07,32.95
CES2000000003,2021,M06,32.86
CES2000000003,2021,M05,32.75
CES2000000003,2021,M04,32.59
CES2000000003,2021,M03,32.28
CES2000000003,2021,M02,32.28
CES2000000003,2021,M01,32.17
CES2000000003,2020,M12,32.09
CES2000000003,2020,M11,31.97
CES2000000003,2020,M10,31.87
CES2000000003,2020,M09,31.82
CES2000000003,2020,M08,31.82
CES2000000003,2020,M07,31.74
CES2000000003,2020,M06,31.63
CES2000000003,2020,M05,31.5
CES2000000003,2020,M04,31.38
CES2000000003,2020,M03,31.37
CES2000000003,2020,M02,31.36
CES2000000003,2020,M01,31.23
CES2000000003,2019,M12,31.16
CES2000000003,2019,M11,31.12
CES2000000003,2019,M10,31
CES2000000003,2019,M09,30.89
CES2000000003,2019,M08,30.88
CES2000000003,2019,M07,30.76
CES2000000003,2019,M06,30.74
CES2000000003,2019,M05,30.7
CES2000000003,2019,M04,30.63
CES2000000003,2019,M03,30.5
CES2000000003,2019,M02,30.43
CES2000000003,2019,M01,30.33
CES2000000003,2018,M12,30.46
CES2000000003,2018,M11,30.28
CES2000000003,2018,M10,30.25
CES2000000003,2018,M09,30.19
CES2000000003,2018,M08,30.02
CES2000000003,2018,M07,29.95
CES2000000003,2018,M06,29.78
CES2000000003,2018,M05,29.71
CES2000000003,2018,M04,29.66
CES2000000003,2018,M03,29.49
CES2000000003,2018,M02,29.54
CES2000000003,2018,M01,29.39
CES2000000003,2017,M12,29.3
CES2000000003,2017,M11,29.22
CES2000000003,2017,M10,29.12
CES2000000003,2017,M09,29.16
CES2000000003,2017,M08,29
CES2000000003,2017,M07,28.95
CES2000000003,2017,M06,28.89
CES2000000003,2017,M05,28.73
CES2000000003,2017,M04,28.61
CES2000000003,2017,M03,28.61
CES2000000003,2017,M02,28.52
CES2000000003,2017,M01,28.53
CES2000000003,2016,M12,28.43
CES2000000003,2016,M11,28.35
CES2000000003,2016,M10,28.42
CES2000000003,2016,M09,28.21
CES2000000003,2016,M08,28.2
CES2000000003,2016,M07,28.2
CES2000000003,2016,M06,28.12
CES2000000003,2016,M05,28.08
CES2000000003,2016,M04,27.97
CES2000000003,2016,M03,27.87
CES2000000003,2016,M02,27.75
CES2000000003,2016,M01,27.66
CES6500000003,2021,M08,29.92
CES6500000003,2021,M07,29.8
CES6500000003,2021,M06,29.67
CES6500000003,2021,M05,29.49
CES6500000003,2021,M04,29.51
CES6500000003,2021,M03,29.16
CES6500000003,2021,M02,29.35
CES6500000003,2021,M01,29.31
CES6500000003,2020,M12,29.45
CES6500000003,2020,M11,28.86
CES6500000003,2020,M10,28.72
CES6500000003,2020,M09,28.7
CES6500000003,2020,M08,28.64
CES6500000003,2020,M07,28.55
