seriesID,industry,year,month,hourly_wage,Annual_wage
CES1000000003,Mining and logging,2021,M12,"34,98",72751
CES1000000003,Mining and logging,2021,M11,"34,98",72751
CES1000000003,Mining and logging,2021,M10,"34,98",72751
CES1000000003,Mining and logging,2021,M09,"34,98",72751
CES1000000003,Mining and logging,2021,M08,"35,53",72751
CES1000000003,Mining and logging,2021,M07,"35,32",72751
CES1000000003,Mining and logging,2021,M06,"35,06",72751
CES1000000003,Mining and logging,2021,M05,"34,99",72751
CES1000000003,Mining and logging,2021,M04,35,72751
CES1000000003,Mining and logging,2021,M03,"34,55",72751
CES1000000003,Mining and logging,2021,M02,"34,78",72751
CES1000000003,Mining and logging,2021,M01,"34,58",72751
CES1000000003,Mining and logging,2020,M12,"34,67",72140
CES1000000003,Mining and logging,2020,M11,"34,47",72140
CES1000000003,Mining and logging,2020,M10,"34,89",72140
CES1000000003,Mining and logging,2020,M09,"34,89",72140
CES1000000003,Mining and logging,2020,M08,"34,8",72140
CES1000000003,Mining and logging,2020,M07,"34,84",72140
CES1000000003,Mining and logging,2020,M06,"34,94",72140
CES1000000003,Mining and logging,2020,M05,"34,87",72140
CES1000000003,Mining and logging,2020,M04,"34,74",72140
CES1000000003,Mining and logging,2020,M03,"34,43",72140
CES1000000003,Mining and logging,2020,M02,"34,41",72140
CES1000000003,Mining and logging,2020,M01,"34,24",72140
CES1000000003,Mining and logging,2019,M12,"34,38",70113
CES1000000003,Mining and logging,2019,M11,"34,36",70113
CES1000000003,Mining and logging,2019,M10,"34,53",70113
CES1000000003,Mining and logging,2019,M09,"34,25",70113
CES1000000003,Mining and logging,2019,M08,34,70113
CES1000000003,Mining and logging,2019,M07,"33,97",70113
CES1000000003,Mining and logging,2019,M06,"33,57",70113
CES1000000003,Mining and logging,2019,M05,"33,4",70113
CES1000000003,Mining and logging,2019,M04,"33,3",70113
CES1000000003,Mining and logging,2019,M03,"32,99",70113
CES1000000003,Mining and logging,2019,M02,"32,99",70113
CES1000000003,Mining and logging,2019,M01,"32,76",70113
CES1000000003,Mining and logging,2018,M12,"32,67",67595
CES1000000003,Mining and logging,2018,M11,"32,73",67595
CES1000000003,Mining and logging,2018,M10,"32,59",67595
CES1000000003,Mining and logging,2018,M09,"32,83",67595
CES1000000003,Mining and logging,2018,M08,"32,57",67595
CES1000000003,Mining and logging,2018,M07,"32,41",67595
CES1000000003,Mining and logging,2018,M06,"32,47",67595
CES1000000003,Mining and logging,2018,M05,"32,27",67595
CES1000000003,Mining and logging,2018,M04,"32,38",67595
CES1000000003,Mining and logging,2018,M03,"32,47",67595
CES1000000003,Mining and logging,2018,M02,"32,26",67595
CES1000000003,Mining and logging,2018,M01,"32,32",67595
CES1000000003,Mining and logging,2017,M12,"32,16",66747
CES1000000003,Mining and logging,2017,M11,"32,11",66747
CES1000000003,Mining and logging,2017,M10,"32,02",66747
CES1000000003,Mining and logging,2017,M09,"31,94",66747
CES1000000003,Mining and logging,2017,M08,"32,02",66747
CES1000000003,Mining and logging,2017,M07,"32,18",66747
CES1000000003,Mining and logging,2017,M06,"31,88",66747
CES1000000003,Mining and logging,2017,M05,"31,83",66747
CES1000000003,Mining and logging,2017,M04,"31,83",66747
CES1000000003,Mining and logging,2017,M03,"32,05",66747
CES1000000003,Mining and logging,2017,M02,"32,19",66747
CES1000000003,Mining and logging,2017,M01,"32,87",66747
CES1000000003,Mining and logging,2016,M12,"32,04",66404
CES1000000003,Mining and logging,2016,M11,"31,9",66404
CES1000000003,Mining and logging,2016,M10,"31,98",66404
CES1000000003,Mining and logging,2016,M09,"31,83",66404
CES1000000003,Mining and logging,2016,M08,"31,63",66404
CES1000000003,Mining and logging,2016,M07,"31,98",66404
CES1000000003,Mining and logging,2016,M06,"32,08",66404
CES1000000003,Mining and logging,2016,M05,"32,1",66404
CES1000000003,Mining and logging,2016,M04,"31,98",66404
CES1000000003,Mining and logging,2016,M03,"31,97",66404
CES1000000003,Mining and logging,2016,M02,"31,82",66404
CES1000000003,Mining and logging,2016,M01,"31,79",66404
CES2000000003,Construction,2021,M12,"32,62",67847
CES2000000003,Construction,2021,M11,"32,62",67847
CES2000000003,Construction,2021,M10,"32,62",67847
CES2000000003,Construction,2021,M09,"32,62",67847
CES2000000003,Construction,2021,M08,"33,07",67847
CES2000000003,Construction,2021,M07,"32,95",67847
CES2000000003,Construction,2021,M06,"32,86",67847
CES2000000003,Construction,2021,M05,"32,75",67847
CES2000000003,Construction,2021,M04,"32,59",67847
CES2000000003,Construction,2021,M03,"32,28",67847
CES2000000003,Construction,2021,M02,"32,28",67847
CES2000000003,Construction,2021,M01,"32,17",67847
CES2000000003,Construction,2020,M12,"32,09",65829
CES2000000003,Construction,2020,M11,"31,97",65829
CES2000000003,Construction,2020,M10,"31,87",65829
CES2000000003,Construction,2020,M09,"31,82",65829
CES2000000003,Construction,2020,M08,"31,82",65829
CES2000000003,Construction,2020,M07,"31,74",65829
CES2000000003,Construction,2020,M06,"31,63",65829
CES2000000003,Construction,2020,M05,"31,5",65829
CES2000000003,Construction,2020,M04,"31,38",65829
CES2000000003,Construction,2020,M03,"31,37",65829
CES2000000003,Construction,2020,M02,"31,36",65829
CES2000000003,Construction,2020,M01,"31,23",65829
